Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-11-16,368.91558837890625,375.0706295137726,366.5590611553473,374.9299342724294,2178076
2010-11-18,366.7701416015625,377.0402506585218,365.78531780304354,377.0402506585218,2765160
2010-11-19,357.1330871582031,368.9507577519876,353.82694213393665,367.50872810547065,2172652
2010-11-22,365.46881103515625,366.8405147394238,355.7614387909177,357.34416392641856,2221236
2010-11-23,362.2857360839844,367.5438825894714,356.07792890604804,363.6749996148454,1684448
2010-11-24,353.3872985839844,363.85086875852886,351.34734633917,360.5095606355651,3008608
2010-11-25,359.3840637207031,366.45358116846336,354.2138247435842,355.25139314019236,5855006
2010-11-26,368.3351745605469,370.7092613863131,360.50948094968777,360.50948094968777,3617826
2010-11-29,376.7940368652344,379.3263793870619,369.3903847485042,371.0610387142794,4518892
2010-11-30,378.4470520019531,381.9818209159676,370.392733479393,372.99544484021493,4808408
2010-12-01,380.5222473144531,384.49661964770104,374.22651077381335,374.22651077381335,3776032
2010-12-02,385.41119384765625,386.60699633249044,378.1130720042676,383.72293644033715,4095716
2010-12-03,385.9562683105469,391.46064262704084,383.7756421919499,384.4439124328627,2030112
2010-12-06,387.486083984375,390.40534835746337,385.235132539361,386.88818305694565,1930954
2010-12-07,382.4918212890625,386.8882790050287,380.5925429689336,386.8882790050287,2158324
2010-12-08,379.5550537109375,384.40871800530886,376.77648342602714,383.7052846640234,1984132
2010-12-09,377.25128173828125,385.93870901941125,375.66855676488666,381.15532808582196,2579902
2010-12-10,378.0603332519531,381.20818090827095,371.764595005145,375.2817624129515,2245624
2010-12-13,378.4821472167969,380.1000346588652,368.7396165642679,376.688401510718,2115066
2010-12-14,380.1880798339844,383.23043731680235,374.279266120195,377.46227590983494,2615340
2010-12-15,388.1719970703125,389.84265076060973,380.38146653820144,381.6476375903333,2572034
2010-12-16,401.2030944824219,402.36377639568633,388.3478789603422,390.05369582414,4515704
2010-12-20,410.347900390625,413.9705999598644,392.11139614150443,399.1281708138167,4514046
2010-12-21,408.27264404296875,412.29978191552794,405.88095400342866,411.15670297227734,2810642
2010-12-22,404.3860778808594,411.1566210417261,400.16547954681255,410.4531879860516,3186836
2010-12-23,400.95703125,407.8331097929101,398.17846077994295,404.4741981907894,2850924
2010-12-24,401.3437194824219,404.05196249480105,395.9448793917794,398.8465407330916,1624640
2010-12-27,401.37896728515625,407.797795243773,400.3238174837398,402.7155075406125,1664936
2010-12-28,403.1903076171875,404.79063528827874,400.9745188427778,401.37895857722214,1012876
2010-12-29,406.9185485839844,408.6947347857621,403.4365882029311,404.12241847576644,1042370
2010-12-30,411.5788269042969,413.19675792122143,405.3534590666993,405.3534590666993,3845552
2010-12-31,409.9784240722656,415.0255482115676,408.624323878914,412.38767396446013,1532980
2011-01-03,407.3052978515625,413.95270515600197,406.07429013827493,410.4531432590269,1405042
2011-01-04,402.62762451171875,410.1543692108467,400.28870026382276,409.3630067691334,2502868
2011-01-05,407.62200927734375,410.0664658448949,401.5724998493804,402.80350816947924,3069674
2011-01-06,412.106201171875,415.7288982541767,405.564282933384,410.80486731038786,2846720
2011-01-07,401.8890686035156,417.43492851621687,400.30634356078593,413.6188111666904,2532724
2011-01-10,397.7562561035156,404.1223170896383,394.2742536618664,403.5947422631505,3952426
2011-01-11,386.3607177734375,399.39183607910456,382.5973670088436,394.9777752021578,3768730
2011-01-12,399.53253173828125,405.0369061778997,389.7020680438725,390.3703382997335,3160874
2011-01-13,395.4174499511719,406.5668507570064,392.5861137006941,397.0705010583792,5589198
2011-01-14,393.9753112792969,404.47404195539605,393.92254520873354,397.4045477219622,3151692
2011-01-17,400.0425720214844,403.26078832365704,393.9226930251532,394.3447358797279,3000212
2011-01-18,422.9568786621094,425.19027082406217,409.521276743566,412.9153510352451,8481370
2011-01-19,419.59796142578125,425.2254277986333,416.7842282393552,423.27338322688576,2952040
2011-01-20,426.3508605957031,428.6546215817642,415.02560284429273,415.02560284429273,4545208
2011-01-21,426.1575012207031,429.09432675551693,423.4668601751167,425.5771601427668,2597404
2011-01-24,425.2957458496094,429.09430275255846,421.4444657977485,422.0599699205493,2016678
2011-01-25,418.03289794921875,428.8481863963587,415.0257030122008,427.26546125775286,2467094
2011-01-27,422.5600280761719,426.2768675427715,416.28890169676043,418.3851690513508,4714118
2011-01-28,416.20068359375,424.0395674142435,410.52851109348285,421.00971530290667,3014578
2011-01-31,408.5027770996094,411.8497166273768,397.5988176301758,411.8497166273768,5940816
2011-02-01,405.20880126953125,410.44058901750356,399.1666844264648,410.44058901750356,4212708
2011-02-02,416.5882263183594,422.38374166171775,409.50681609030744,412.2019915595001,3937618
2011-02-03,417.0286560058594,421.2563691751604,412.4310437381579,417.3809654366344,1883412
2011-02-04,404.73309326171875,416.8172809926481,401.72083041121164,414.3158926231834,3457600
2011-02-07,398.5148620605469,413.43515938153206,396.87661443825806,413.43515938153206,2578382
2011-02-08,396.38348388671875,405.1207783213163,394.0582493537087,398.814428492086,5288638
2011-02-09,386.9414367675781,397.9686953416905,381.797685048652,395.46730716714865,6012732
2011-02-10,384.2815246582031,392.64887392305053,377.6757226070078,387.54038700345944,4551822
2011-02-11,383.8763732910156,389.0200827290166,372.0035618686521,381.9386712899072,2945056
2011-02-14,391.8738098144531,394.586575317149,382.960363722983,384.36960149197284,2462548
2011-02-15,386.73016357421875,394.2343739539729,379.2788512331321,394.2343739539729,3625426
